Latitude,Longitude,Sample_ID,Sample_Material_Eng,Sample_Material,Measuring_Institution..Eng.,Measuring_Institution,Pretreatment_Institution_Eng,Pretreatment_Institution_.only.if.different.from.AMS.Lab.,Measurement_Date,R_Combine_Note,Mismatch_Flag,BP,error,Period_New,Site_Code_Eng,Site_Code,Site_OG_Eng,Site_OG,Feature,FeatureType_Eng,Feature_Type,Excavating_Institution_Eng,Excavating_Institution,Year,Sub_Region,Total_Houses,median
37.604,126.844,ESCH190112,Charcoal,charcoal,Korea Institute of Science and Technology (KIST),한국과학기술연구원,,,2018.11.23.,,,2741,20,Bronze,Goyang Gangmae-dong,고양 강매동,Goyang Gangmae-dong Site,고양 강매동 유적,1지점 청동기시대 2호 주거지,Dwelling,주거지,Gyeore Institute of Cultural Heritage,겨레문화유산연구원,2020,Northern Gyeonggi,18,2818
37.604,126.844,ESCH190117,Charcoal,charcoal,Korea Institute of Science and Technology (KIST),한국과학기술연구원,,,2018.11.23.,,,2750,21,Bronze,Goyang Gangmae-dong,고양 강매동,Goyang Gangmae-dong Site,고양 강매동 유적,1지점 청동기시대 11호 주거지,Dwelling,주거지,Gyeore Institute of Cultural Heritage,겨레문화유산연구원,2020,Northern Gyeonggi,18,2824
37.604,126.844,ESCH190120,Charcoal,charcoal,Korea Institute of Science and Technology (KIST),한국과학기술연구원,,,,,,2772,21,Bronze,Goyang Gangmae-dong,고양 강매동,Goyang Gangmae-dong Site,고양 강매동 유적,1지점 청동기시대 15호 주거지,Dwelling,주거지,Gyeore Institute of Cultural Heritage,겨레문화유산연구원,2020,Northern Gyeonggi,18,2864
37.604,126.844,ESCH190119,Charcoal,charcoal,Korea Institute of Science and Technology (KIST),한국과학기술연구원,,,2018.11.23.,,,2794,22,Bronze,Goyang Gangmae-dong,고양 강매동,Goyang Gangmae-dong Site,고양 강매동 유적,1지점 청동기시대 14호 주거지,Dwelling,주거지,Gyeore Institute of Cultural Heritage,겨레문화유산연구원,2020,Northern Gyeonggi,18,2899
37.604,126.844,ESCH190118,Charcoal,charcoal,Korea Institute of Science and Technology (KIST),한국과학기술연구원,,,2018.11.23.,,,2795,24,Bronze,Goyang Gangmae-dong,고양 강매동,Goyang Gangmae-dong Site,고양 강매동 유적,1지점 청동기시대 13호 주거지,Dwelling,주거지,Gyeore Institute of Cultural Heritage,겨레문화유산연구원,2020,Northern Gyeonggi,18,2900
37.604,126.844,ESCH190113,Charcoal,charcoal,Korea Institute of Science and Technology (KIST),한국과학기술연구원,,,2018.11.23.,,,2814,27,Bronze,Goyang Gangmae-dong,고양 강매동,Goyang Gangmae-dong Site,고양 강매동 유적,1지점 청동기시대 3호 주거지,Dwelling,주거지,Gyeore Institute of Cultural Heritage,겨레문화유산연구원,2020,Northern Gyeonggi,18,2915
37.604,126.844,ESCH190111,Charcoal,charcoal,Korea Institute of Science and Technology (KIST),한국과학기술연구원,,,2018.11.23.,,,2820,21,Bronze,Goyang Gangmae-dong,고양 강매동,Goyang Gangmae-dong Site,고양 강매동 유적,1지점 청동기시대 1호 주거지,Dwelling,주거지,Gyeore Institute of Cultural Heritage,겨레문화유산연구원,2020,Northern Gyeonggi,18,2919
37.624,126.862,SNU 13-R070,Charcoal (wood charcoal),목탄,National Center for Inter-University Research Facilities,서울대학교 기초과학공동기기원,,,2013/09/13,,,2420,50,Bronze,Goyang Donae-dong,고양 도내동,"Donae-dong, Goyang-si",고양 도내동 도당유적,1-1호,Dwelling,주거지,Central Institute for Cultural Heritage,중앙문화재연구원,2014,Northern Gyeonggi,49,2476
37.624,126.862,SNU 13-R075,Charcoal (wood charcoal),목탄,National Center for Inter-University Research Facilities,서울대학교 기초과학공동기기원,,,2013/09/13,,,2440,40,Bronze,Goyang Donae-dong,고양 도내동,"Donae-dong, Goyang-si",고양 도내동 도당유적,2-10호,Dwelling,주거지,Central Institute for Cultural Heritage,중앙문화재연구원,2014,Northern Gyeonggi,49,2496
37.624,126.862,SNU 13-R072,Charcoal (wood charcoal),목탄,National Center for Inter-University Research Facilities,서울대학교 기초과학공동기기원,,,2013/09/13,,,2440,50,Bronze,Goyang Donae-dong,고양 도내동,"Donae-dong, Goyang-si",고양 도내동 도당유적,3-5호,Dwelling,주거지,Central Institute for Cultural Heritage,중앙문화재연구원,2014,Northern Gyeonggi,49,2509
37.624,126.862,SNU 13-R074,Charcoal (wood charcoal),목탄,National Center for Inter-University Research Facilities,서울대학교 기초과학공동기기원,,,2013/09/13,,,2460,50,Bronze,Goyang Donae-dong,고양 도내동,"Donae-dong, Goyang-si",고양 도내동 도당유적,3-11호,Dwelling,주거지,Central Institute for Cultural Heritage,중앙문화재연구원,2014,Northern Gyeonggi,49,2544
37.624,126.862,SNU 13-R073,Charcoal (wood charcoal),목탄,National Center for Inter-University Research Facilities,서울대학교 기초과학공동기기원,,,2013/09/13,,,2480,50,Bronze,Goyang Donae-dong,고양 도내동,"Donae-dong, Goyang-si",고양 도내동 도당유적,3-8호,Dwelling,주거지,Central Institute for Cultural Heritage,중앙문화재연구원,2014,Northern Gyeonggi,49,2567
37.624,126.862,SNU 13-R071,Charcoal (wood charcoal),목탄,National Center for Inter-University Research Facilities,서울대학교 기초과학공동기기원,,,2013/09/13,,,2620,60,Bronze,Goyang Donae-dong,고양 도내동,"Donae-dong, Goyang-si",고양 도내동 도당유적,3-7호,Dwelling,주거지,Central Institute for Cultural Heritage,중앙문화재연구원,2014,Northern Gyeonggi,49,2744
37.632,126.859,PLD-16850,Charcoal (wood charcoal),목탄,"Paleo Labo co., Ltd.",Paleo Labo AMS 연대측정그룹,,,2012(보고서),,,2460,20,Bronze,Goyang Donae-dong,고양 도내동,"Donae-dong, Goyang",고양 도내동 유적,2-2호 주거지,Dwelling,주거지,Gyeore Institute of Cultural Heritage,겨레문화유산연구원,2012,Northern Gyeonggi,49,2588
37.632,126.859,PLD-16845,Charcoal (wood charcoal),목탄,"Paleo Labo co., Ltd.",Paleo Labo AMS 연대측정그룹,,,2012(보고서),,,2495,20,Bronze,Goyang Donae-dong,고양 도내동,"Donae-dong, Goyang",고양 도내동 유적,1-1호 주거지,Dwelling,주거지,Gyeore Institute of Cultural Heritage,겨레문화유산연구원,2012,Northern Gyeonggi,49,2582
37.632,126.859,PLD-16851,Charcoal (wood charcoal),목탄,"Paleo Labo co., Ltd.",Paleo Labo AMS 연대측정그룹,,,2012(보고서),,,2495,20,Bronze,Goyang Donae-dong,고양 도내동,"Donae-dong, Goyang",고양 도내동 유적,2-5호 주거지,Dwelling,주거지,Gyeore Institute of Cultural Heritage,겨레문화유산연구원,2012,Northern Gyeonggi,49,2582
37.632,126.859,PLD-16847,Charcoal (wood charcoal),목탄,"Paleo Labo co., Ltd.",Paleo Labo AMS 연대측정그룹,,,2012(보고서),,,2545,20,Bronze,Goyang Donae-dong,고양 도내동,"Donae-dong, Goyang",고양 도내동 유적,1-7호 주거지,Dwelling,주거지,Gyeore Institute of Cultural Heritage,겨레문화유산연구원,2012,Northern Gyeonggi,49,2709
37.632,126.859,PLD-16848,Charcoal (wood charcoal),목탄,"Paleo Labo co., Ltd.",Paleo Labo AMS 연대측정그룹,,,2012(보고서),,,2545,20,Bronze,Goyang Donae-dong,고양 도내동,"Donae-dong, Goyang",고양 도내동 유적,1-10호 주거지,Dwelling,주거지,Gyeore Institute of Cultural Heritage,겨레문화유산연구원,2012,Northern Gyeonggi,49,2709
37.632,126.859,PLD-16849,Charcoal (wood charcoal),목탄,"Paleo Labo co., Ltd.",Paleo Labo AMS 연대측정그룹,,,2012(보고서),,,2615,20,Bronze,Goyang Donae-dong,고양 도내동,"Donae-dong, Goyang",고양 도내동 유적,2-1호 주거지,Dwelling,주거지,Gyeore Institute of Cultural Heritage,겨레문화유산연구원,2012,Northern Gyeonggi,49,2747
37.632,126.859,PLD-16846,Charcoal (wood charcoal),목탄,"Paleo Labo co., Ltd.",Paleo Labo AMS 연대측정그룹,,,2012(보고서),,,2650,20,Bronze,Goyang Donae-dong,고양 도내동,"Donae-dong, Goyang",고양 도내동 유적,1-6호 주거지,Dwelling,주거지,Gyeore Institute of Cultural Heritage,겨레문화유산연구원,2012,Northern Gyeonggi,49,2758
37.284,127.069,PLD-14044,Charcoal (wood charcoal),목탄,"Paleo Labo co., Ltd.",Paleo Labo AMS 연대측정그룹,,,2011(보고서),Selected based on archaeological context,,2810,25,Bronze,Gwanggyo New Town Cultural Site,광교 신도시 문화유적,Site at Gwanggy newtown,광교 신도시 문화유적,10-1호 주거지,Dwelling,주거지,Giho Cultural Heritage Research Center,기호문화재연구원,2011,Southern Gyeonggi,2,2911
37.237,126.951,PLD-28906,Not specified,,"Paleo Labo co., Ltd.",Paleo Labo AMS 연대측정그룹,,,2016(보고서),"R_Combine not possible, review needed",,2535,20,Bronze,Gwangmyeong Gahak-dong,광명 가학동,"Gahak-dong, Gwangmyeong",광명 가학동 유적,3호 주거지,Dwelling,주거지,Hangang Institute of Cultural Heritage,한강문화재연구원,2016,Southern Gyeonggi,61,2625
37.237,126.951,PLD-28908,Not specified,,"Paleo Labo co., Ltd.",Paleo Labo AMS 연대측정그룹,,,2016(보고서),,,2660,20,Bronze,Gwangmyeong Gahak-dong,광명 가학동,"Gahak-dong, Gwangmyeong",광명 가학동 유적,47호 주거지,Dwelling,주거지,Hangang Institute of Cultural Heritage,한강문화재연구원,2016,Southern Gyeonggi,61,2762
37.237,126.951,PLD-28910,Not specified,,"Paleo Labo co., Ltd.",Paleo Labo AMS 연대측정그룹,,,2016(보고서),,,2670,20,Bronze,Gwangmyeong Gahak-dong,광명 가학동,"Gahak-dong, Gwangmyeong",광명 가학동 유적,52호 주거지,Dwelling,주거지,Hangang Institute of Cultural Heritage,한강문화재연구원,2016,Southern Gyeonggi,61,2767
37.237,126.951,PLD-28907,Not specified,,"Paleo Labo co., Ltd.",Paleo Labo AMS 연대측정그룹,,,2016(보고서),,,2690,20,Bronze,Gwangmyeong Gahak-dong,광명 가학동,"Gahak-dong, Gwangmyeong",광명 가학동 유적,19호 주거지,Dwelling,주거지,Hangang Institute of Cultural Heritage,한강문화재연구원,2016,Southern Gyeonggi,61,2779
37.237,126.951,PLD-28904,Not specified,,"Paleo Labo co., Ltd.",Paleo Labo AMS 연대측정그룹,,,2016(보고서),,,2720,20,Bronze,Gwangmyeong Gahak-dong,광명 가학동,"Gahak-dong, Gwangmyeong",광명 가학동 유적,2호 주거지,Dwelling,주거지,Hangang Institute of Cultural Heritage,한강문화재연구원,2016,Southern Gyeonggi,61,2812
37.237,126.951,MRR2015-1,Charcoal (wood charcoal),목탄,"Paleo Labo co., Ltd.",Paleo Labo AMS 연대측정그룹,,,2015-08-21(보고),"Excluded 3060, 2593, 2898 and R_Combined the rest",,2737,5,Bronze,Gwangmyeong Gahak-dong,광명 가학동,"Gahak-dong, Gwangmyeong",광명 가학동 유적,1호 주거지,Dwelling,주거지,Hangang Institute of Cultural Heritage,한강문화재연구원,2016,Southern Gyeonggi,61,2812
